vehicle,level_1,datetime,speed,x,y,heading,vehicletype,time_interval,distance,heading_interval,trip
50LD10138,0,4/27/2018 3:14,11.771,106.67213,10.770465,227.6909508,200,4199,1.481474795,7.407031067,23
50LD10138,1,4/27/2018 3:14,7.059,106.67212,10.770456,219.155382,200,1,12.15738209,8.535568805,23
50LD10138,2,4/27/2018 3:14,31.765,106.67205,10.770371,219.155382,200,7,78.68739475,25.45762147,23
50LD10138,0,4/27/2018 3:15,7.164,106.6714,10.770066,239.6047744,200,99,6.342703269,5.00822913,24
50LD10138,1,4/27/2018 3:16,8.4,106.67135,10.770037,238.7501468,200,3,11.51991413,0.854627521,24
50LD10138,2,4/27/2018 3:16,14.4,106.67126,10.769983,245.7965778,200,3,21.58119417,7.046431008,24
50LD10138,3,4/27/2018 3:16,12.6,106.67108,10.769903,232.9609382,200,6,35.66495172,12.83563962,24
50LD10138,4,4/27/2018 3:17,3.614,106.67082,10.769709,246.1159142,200,59,66.37506298,13.15497595,24
50LD10138,5,4/27/2018 3:17,14.4,106.670265,10.769466,262.3201759,200,18,1.653571929,16.20426176,24
50LD10138,6,4/27/2018 3:17,7.059,106.67025,10.769464,262.3201759,200,1,41.07084078,26.60810969,24
50LD10138,0,4/27/2018 5:45,20.3,106.67192,10.770257,238.890804,200,4539,92.53248262,15.9849374,25
50LD10138,1,4/27/2018 5:46,12.086,106.671196,10.769825,242.6760151,200,28,11.32741948,3.785211025,25
50LD10138,2,4/27/2018 5:46,12,106.671104,10.769778,242.6760151,200,41,191.4663476,0.771002571,25
50LD10138,0,4/27/2018 7:05,27.12,106.665634,10.766925,61.13974582,200,15,586.6117151,0.116483669,26
50LD10138,1,4/27/2018 7:07,16.241,106.67033,10.769484,62.592183,200,73,106.7070482,1.452437175,26
50LD10138,2,4/27/2018 7:08,13.35,106.671196,10.769928,59.6856747,200,52,8.111886575,2.906508295,26
50LD10138,3,4/27/2018 7:08,4.8,106.67126,10.769965,59.4061801,200,6,24.78757319,0.279494601,26
50LD10138,4,4/27/2018 7:08,22.8,106.671455,10.770079,59.4061801,200,12,158.107676,2.498783163,26
50LD10138,0,4/27/2018 8:18,16.114,106.67273,10.770752,238.0495094,200,4223,23.21541081,176.1445461,27
