vehicle,level_1,datetime,speed,x,y,heading,vehicletype,time_interval,distance,heading_interval,trip,ts
50LD10203,3,2018-04-27 07:55:47,8.4,106.67129,10.769943,225.60577942967674,200,5,14.416157708496371,26.987016701235945,20,1524815747
50LD10203,4,2018-04-27 07:55:53,8.4,106.671196,10.769852,225.60577942967674,200,6,21.998029591543165,10.086253428166884,20,1524815753
50LD10204,0,2018-04-27 03:36:49,4.0,106.672005,10.770327,235.5845632917575,200,4450,20.56688878156029,177.45448936876733,21,1524800209
50LD10204,1,2018-04-27 03:36:59,5.0,106.67185,10.770222,260.8082842082455,200,10,16.60134963055559,25.22372091648799,21,1524800219
50LD10204,2,2018-04-27 03:37:09,1.0,106.6717,10.770198,254.3082852399033,200,10,10.21673101148774,6.499998968342169,21,1524800229
50LD10204,3,2018-04-27 03:37:29,1.0,106.67161,10.770173,243.50128060592638,200,20,34.709878472760835,10.80700463397693,21,1524800249
50LD10204,4,2018-04-27 03:37:49,6.0,106.671326,10.770033,243.50128060592638,200,20,23.754603496363004,13.55714322811258,21,1524800269
50LD10204,0,2018-04-27 03:44:49,2.0,106.66531,10.766809,240.9155358710842,200,60,10.015367772530032,4.113685159445737,22,1524800689
50LD10204,1,2018-04-27 03:44:59,4.0,106.66523,10.766765,247.5431913555555,200,10,13.606056866497097,6.627655484471319,22,1524800699
50LD10204,2,2018-04-27 03:45:09,2.0,106.665115,10.766718,221.75382532521812,200,10,10.70107848986236,25.78936603033739,22,1524800709
50LD10204,3,2018-04-27 03:45:29,3.0,106.66505,10.766646,239.41510813858605,200,20,48.9356124652427,17.661282813367933,22,1524800729
50LD10204,4,2018-04-27 03:45:49,8.0,106.664665,10.766421,239.41510813858605,200,20,34.419247576334534,5.486047143302017,22,1524800749
50LD10215,0,2018-04-27 09:55:51,33.0,106.666306,10.767288,240.69717947846527,200,10,68.50198874779083,0.06635505729968827,23,1524822951
50LD10215,1,2018-04-27 09:56:01,26.0,106.66576,10.766985,240.69186098209903,200,10,56.96257408551973,0.005318496366243153,23,1524822961
50LD10215,2,2018-04-27 09:56:11,13.0,106.665306,10.766733,231.5722350082795,200,10,16.21596859761766,9.119625973819524,23,1524822971
