y,x,ts,trip
10.766693,106.66537,1524822844,14717
10.767201,106.66664,1524822864,14717
10.767373,106.666954,1524822934,14717
10.767482,106.66714,1524822944,14717
10.767778,106.66777,1524822964,14717
10.767843,106.66833,1524822974,14717
10.767845,106.66907,1524822984,14717
10.76995,106.6661,1524795153,14720
10.76947,106.6663,1524795162,14720
10.76826,106.6668,1524795191,14720
10.76809,106.6669,1524795196,14720
10.76802,106.6669,1524795205,14720
10.76799,106.667,1524795210,14720
10.76799,106.667,1524795219,14720
10.76775,106.6671,1524795252,14720
10.76773,106.6671,1524795255,14720
10.76756,106.6671,1524795270,14720
10.76746,106.6671,1524795278,14720
10.7669,106.6672,1524795286,14720
10.76665,106.6673,1524795294,14720
10.7661,106.6674,1524795311,14720
10.76606,106.6674,1524795315,14720
10.7657,106.6675,1524795347,14720
10.771883,106.665405,1524787210,14721
10.770966,106.66575,1524787230,14721
10.770301,106.666016,1524787240,14721
10.768009,106.667015,1524787310,14722
10.767821,106.667114,1524787320,14722
10.767904,106.66757,1524787340,14722
10.767996,106.66777,1524787350,14722
10.768156,106.668076,1524787360,14722
10.768436,106.66854,1524787370,14722
10.770383,106.67187,1524787440,14724
10.770719,106.67248,1524787480,14724
10.769753,106.67091,1524871600,14725
10.769463,106.67032,1524871610,14725
10.77087,106.671,1524830495,14728
10.77115,106.67,1524830555,14728
10.77073,106.6702,1524830585,14728
10.769856,106.670876,1524873100,14731
10.769505,106.670265,1524873110,14731
10.769093,106.669525,1524873120,14731
10.768647,106.66874,1524873130,14731
10.768188,106.667915,1524873140,14731
10.768066,106.66761,1524823600,14734
10.768219,106.666954,1524823620,14734
10.768623,106.66673,1524823630,14734
10.769505,106.66631,1524823650,14734
10.769936,106.66614,1524823660,14734
10.770477,106.66592,1524823670,14734
10.771066,106.665695,1524823680,14734
10.770596,106.6725,1524825140,14735
10.770095,106.67159,1524825200,14735
10.768329,106.67145,1524828280,14736
10.768138,106.67151,1524828290,14736
10.767783,106.67269,1524828320,14736
10.767834,106.671844,1524830410,14737
10.767852,106.671524,1524830420,14737
10.767871,106.67085,1524830430,14737
10.767909,106.67004,1524830440,14737
10.767935,106.66928,1524830460,14737
10.767963,106.668625,1524830470,14737
10.768143,106.667816,1524830490,14737
10.768026,106.66762,1524830500,14737
10.767519,106.6666,1524830530,14737
10.767305,106.666214,1524830540,14737
10.767055,106.665764,1524830550,14737
10.76686,106.66543,1524830560,14737
10.766689,106.665146,1524830570,14737
10.771868,106.66539,1524831520,14738
10.770878,106.66579,1524831540,14738
10.770258,106.66604,1524831550,14738
10.767933,106.66701,1524831600,14739
10.767762,106.66727,1524831620,14739
10.7679405,106.66829,1524831640,14739
10.7679405,106.66908,1524831680,14739
10.767916,106.66932,1524831690,14739
10.7679,106.67006,1524851140,14740
10.767943,106.66878,1524851150,14740
10.7681465,106.66803,1524851160,14740
10.769817,106.67079,1524827830,14747
10.769364,106.67114,1524827860,14747
10.768824,106.6713,1524827870,14747
10.768368,106.67139,1524827880,14747
10.767945,106.67151,1524827900,14747
10.76781,106.67181,1524827910,14747
10.767785,106.6726,1524827920,14747
10.767845,106.6709,1524839900,14748
10.767899,106.67001,1524839910,14748
10.767938,106.66917,1524839920,14748
10.768166,106.66793,1524839940,14748
10.768583,106.66672,1524839970,14748
10.772107,106.66953,1524841340,14749
10.771276,106.669945,1524841370,14749
10.769832,106.671104,1524841580,14750
10.770241,106.67179,1524841590,14750
10.767894,106.6693,1524835373,14752
10.767859,106.67037,1524835393,14752
10.767837,106.671715,1524837361,14753
10.767828,106.671394,1524837366,14753
10.767895,106.67033,1524837381,14753
10.767915,106.669975,1524837386,14753
10.767985,106.66872,1524837407,14753
10.765895,106.66582,1524839486,14755
10.767005,106.66624,1524839526,14755
10.77035,106.6703,1524871190,14763
10.769752,106.670616,1524871230,14763
10.768237,106.671364,1524871270,14764
10.767877,106.671455,1524871330,14764
10.76997,106.67114,1524822740,14766
10.769555,106.67034,1524822790,14766
10.769253,106.669815,1524822800,14766
10.768476,106.66841,1524822820,14767
10.768106,106.66779,1524822830,14767
10.767753,106.667145,1524822840,14767
10.767212,106.66612,1524822860,14767
10.767099,106.66588,1524822870,14767
10.767013,106.665695,1524822880,14767
10.766666,106.665054,1524822920,14767
10.769762,106.66616,1524844620,14769
10.768792,106.666565,1524844630,14769
10.767965,106.66696,1524844640,14769
10.767748,106.66726,1524844650,14769
10.767904,106.668335,1524844660,14769
10.767846,106.6696,1524844670,14769
10.768413,106.6683,1524825160,14774
10.76798,106.667274,1524825180,14774
10.768223,106.66695,1524825190,14774
10.768634,106.66673,1524825200,14774
10.768901,106.66661,1524825210,14774
10.76919,106.66649,1524825220,14774
10.769511,106.66637,1524825240,14774
10.771815,106.665375,1524825560,14775
10.771167,106.665634,1524825570,14775
10.769943,106.66611,1524825590,14775
10.769684,106.66621,1524825600,14775
10.767755,106.66681,1524825660,14776
10.767035,106.66571,1524825680,14776
10.766402,106.6646,1524825740,14776
10.766246,106.664314,1524825770,14776
10.767804,106.67264,1524791370,14777
10.767835,106.67193,1524791380,14777
10.767861,106.67139,1524791390,14777
10.767995,106.66858,1524791440,14778
10.768125,106.66813,1524791450,14778
10.768189,106.66799,1524791460,14778
10.768168,106.66782,1524791470,14778
10.767694,106.66692,1524791500,14778
10.767551,106.66667,1524791510,14778
10.767363,106.666435,1524791520,14778
10.7697315,106.6662,1524831150,14780
10.769012,106.66652,1524831170,14780
10.767339,106.66716,1524831200,14781
10.76683,106.667244,1524831210,14781
10.765978,106.66757,1524831240,14781
10.766142,106.66749,1524835290,14782
10.766568,106.66737,1524835300,14782
10.766779,106.66733,1524835310,14782
10.767301,106.66722,1524835330,14782
10.770238,106.66599,1524843760,14786
10.771049,106.665695,1524843770,14786
10.771144,106.66998,1524844760,14787
10.771072,106.670006,1524844770,14787
10.76994,106.670685,1524844810,14787
10.769902,106.6707,1524844820,14787
10.769768,106.67089,1524844830,14787
10.768133,106.67142,1524844860,14788
10.767846,106.67182,1524844870,14788
10.76777,106.6713,1524813846,14793
10.76776,106.672,1524813886,14793
10.76802,106.6683,1524814576,14795
